time,heal_pos0,heal_pos1,heal_pos2,heal_pos3,heal_pos4,heal_pos5,heal_pos6,heal_vel0,heal_vel1,heal_vel2,heal_vel3,heal_vel4,heal_vel5,heal_vel6,heal_effort0,heal_effort1,heal_effort2,heal_effort3,heal_effort4,heal_effort5,heal_effort6,fr3_pos0,fr3_pos1,fr3_pos2,fr3_pos3,fr3_pos4,fr3_pos5,fr3_pos6,fr3_vel0,fr3_vel1,fr3_vel2,fr3_vel3,fr3_vel4,fr3_vel5,fr3_vel6,fr3_effort0,fr3_effort1,fr3_effort2,fr3_effort3,fr3_effort4,fr3_effort5,fr3_effort6
1750014960.817573,0.160831,0.541317,0.174019,-0.790019,0.863445,0.131496,,0.018434,0.10082,0.063125,-0.11838,0.114799,0.037875,,-0.708,-37.7927,14.9828,0.466206,0.198966,0.971663,,-0.007162,-0.103361,-0.022152,-2.525527,-0.003581,2.422027,0.756487,0.000567,0.15316,-0.003038,0.042051,0.003877,0.118132,-0.008032,0.01897,-23.486607,-0.505265,20.195992,0.995066,2.412648,-0.200453
1750014960.850969,0.160914,0.541856,0.174342,-0.790666,0.864056,0.1317,,0.018051,0.102569,0.058753,-0.118152,0.118524,0.03827,,-0.622589,-36.8874,15.6815,0.51308,0.221335,0.963398,,-0.007183,-0.098189,-0.022218,-2.524058,-0.003432,2.425977,0.756292,-0.000654,0.156176,-0.000318,0.044318,0.005127,0.118091,-0.006148,-0.004833,-22.974827,-0.604447,19.751656,1.001475,2.360463,-0.227003
1750014960.884729,0.161657,0.54588,0.176893,-0.795601,0.868727,0.133221,,0.018339,0.099251,0.063712,-0.12068,0.114595,0.03754,,-0.285177,-35.2603,14.3367,1.05204,0.318263,0.908897,,-0.007206,-0.092854,-0.022301,-2.52259,-0.003284,2.429916,0.756088,-0.00096,0.158366,-0.002873,0.041985,0.004967,0.115185,-0.006586,0.042774,-23.637363,-0.529069,19.700081,1.001475,2.340321,-0.234328
1750014960.917861,0.162436,0.550073,0.179624,-0.800512,0.873602,0.13479,,0.017716,0.100964,0.065844,-0.11753,0.114116,0.036282,,-0.063273,-33.4859,13.893,0.826807,0.333727,0.935848,,-0.007239,-0.087502,-0.022388,-2.521242,-0.003127,2.433711,0.755896,-0.003481,0.155601,-0.004073,0.040682,0.00369,0.11086,-0.005164,0.066578,-23.946812,-0.529069,20.144417,1.007884,2.419972,-0.28102
1750014960.951032,0.163142,0.554145,0.182248,-0.805147,0.878274,0.136299,,0.017105,0.099838,0.061927,-0.119602,0.113864,0.036953,,-0.08188,-35.399,12.8978,0.567619,0.309409,0.900393,,-0.007262,-0.082152,-0.02247,-2.519766,-0.002962,2.437547,0.755686,-0.001966,0.15765,-0.001547,0.04507,0.005914,0.115011,-0.0052,0.066578,-24.176914,-0.505265,19.874641,1.001475,2.439198,-0.267287
1750014960.984233,0.163789,0.557978,0.184643,-0.809459,0.88267,0.137737,,0.018949,0.100161,0.062897,-0.11862,0.114092,0.036114,,0.279741,-34.573,13.1878,0.189956,0.236411,0.829722,,-0.00728,-0.07672,-0.022551,-2.518268,-0.002794,2.441465,0.755479,0.000662,0.154539,-0.00339,0.041818,0.004253,0.116003,-0.005204,-0.004833,-24.12534,-0.477494,19.95002,1.02711,2.360463,-0.227003
1750014961.017434,0.163837,0.558254,0.184823,-0.809771,0.882981,0.137833,,0.018387,0.099526,0.06697,-0.114739,0.116775,0.037372,,0.067175,-35.043,12.8213,0.146991,0.213541,0.831519,,-0.007307,-0.071573,-0.02261,-2.516729,-0.002628,2.445296,0.755281,-0.001145,0.154757,-0.000868,0.046121,0.005612,0.116254,-0.005414,0.01897,-23.435032,-0.580643,19.577095,1.02711,2.327504,-0.227003
1750014961.051037,0.164616,0.562554,0.18759,-0.814814,0.887832,0.139378,,0.018339,0.101539,0.065485,-0.117182,0.115601,0.036509,,0.548173,-35.99,13.4578,0.447801,0.245839,1.00832,,-0.007333,-0.066144,-0.022691,-2.515158,-0.00245,2.449152,0.755077,-0.000457,0.165159,-0.00345,0.043164,0.005514,0.109755,-0.00498,0.01897,-24.557774,-0.477494,19.600899,1.007884,2.387013,-0.240736
1750014961.084841,0.165322,0.56659,0.190201,-0.819389,0.892336,0.140887,,0.018926,0.09979,0.063568,-0.116763,0.114128,0.037444,,0.924657,-36.4629,13.3607,0.339142,0.253687,0.947227,,-0.007363,-0.06077,-0.02276,-2.513706,-0.002282,2.452862,0.754876,-0.001108,0.159414,-0.001743,0.045167,0.005231,0.110406,-0.004961,0.01897,-24.712498,-0.505265,19.898445,1.066477,2.393422,-0.247145
1750014962.484226,0.189087,0.71131,0.293321,-0.973752,1.04027,0.192788,,0.016254,0.105551,0.081631,-0.10633,0.09743,0.035539,,0.167773,-38.9295,12.7943,0.402643,0.177824,1.01802,,-0.009851,0.160751,-0.023682,-2.429402,0.00711,2.590181,0.745039,-0.00331,0.152797,0.00163,0.082647,0.008806,0.085343,-0.006885,0.118152,-29.112217,-0.072831,17.847359,1.151621,2.472157,-0.140944
1750014962.517586,0.189746,0.715611,0.296627,-0.977896,1.04412,0.194274,,0.015045,0.106857,0.083727,-0.102749,0.097514,0.035923,,0.20449,-40.2696,13.4859,0.345352,0.257289,0.955253,,-0.009933,0.166177,-0.023615,-2.426635,0.007391,2.59314,0.744789,-0.002274,0.161227,0.002551,0.075793,0.008844,0.082112,-0.005744,-0.056408,-29.112217,-0.199784,17.331612,1.132395,2.406239,-0.161086
1750014962.551386,0.190369,0.72015,0.300113,-0.982388,1.04826,0.195807,,0.014278,0.107432,0.081439,-0.103324,0.098341,0.036126,,0.150237,-41.3172,13.8533,0.65446,0.227242,0.94603,,-0.010019,0.171696,-0.023559,-2.424263,0.007652,2.595908,0.744547,-0.000893,0.165567,0.000594,0.067115,0.00831,0.081153,-0.007958,-0.15559,-30.290501,-0.148209,18.069527,1.165354,2.498708,-0.167494
1750014962.584408,0.190908,0.723923,0.303023,-0.98585,1.05161,0.197088,,0.015859,0.107097,0.082026,-0.104449,0.098281,0.036833,,-0.295668,-42.4376,13.6388,0.224447,0.272412,0.861344,,-0.010144,0.177198,-0.023518,-2.421886,0.007916,2.598711,0.744304,-0.004864,0.159216,0.001386,0.073011,0.008524,0.084314,-0.005862,-0.004833,-30.750706,-0.124406,18.343269,1.158946,2.557301,-0.180312
1750014962.617598,0.191004,0.724522,0.30349,-0.986425,1.05217,0.197304,,0.016111,0.104713,0.082937,-0.101287,0.095849,0.03633,,-0.444941,-42.2426,13.6108,0.174143,0.255053,0.823254,,-0.010259,0.182609,-0.023488,-2.41936,0.008178,2.601502,0.744036,-0.002481,0.159448,0.001608,0.075047,0.008656,0.085431,-0.005549,-0.004833,-31.135532,-0.072831,18.367073,1.158946,2.603993,-0.153761
1750014962.651391,0.191638,0.728763,0.306856,-0.990569,1.05601,0.198777,,0.016147,0.108294,0.081392,-0.102341,0.098916,0.037647,,-0.303639,-41.7848,12.4562,0.268064,0.247369,0.83595,,-0.01037,0.187822,-0.023429,-2.416671,0.008447,2.604324,0.7438,-0.004105,0.150099,0.001947,0.081047,0.005769,0.081662,-0.009251,-0.004833,-30.211155,-0.124406,17.823555,1.197398,2.505116,-0.161086
1750014962.684202,0.192249,0.733087,0.310222,-0.994666,1.05986,0.200251,,0.015524,0.105839,0.085308,-0.101108,0.097131,0.037935,,0.063481,-42.7646,11.6543,0.104876,0.298107,0.892008,,-0.01047,0.193066,-0.023359,-2.413827,0.008725,2.607128,0.743554,0.00015,0.153184,0.00225,0.08221,0.011825,0.07725,-0.005857,-0.131787,-30.290501,-0.096635,17.180855,1.040843,2.445607,-0.173903
1750014962.717844,0.19292,0.737435,0.313768,-0.998954,1.06383,0.2017,,0.016566,0.107085,0.084039,-0.104797,0.094735,0.036234,,0.014823,-37.839,12.2359,0.236636,0.336486,0.96795,,-0.010587,0.198198,-0.023307,-2.411494,0.008955,2.609627,0.743323,-0.005607,0.148767,-0.000409,0.064768,0.00569,0.071114,-0.00651,0.042774,-31.107761,-0.096635,17.946541,1.190989,2.517934,-0.167494
1750014962.750882,0.193591,0.741807,0.317157,-1.00315,1.06767,0.203149,,0.015248,0.108546,0.084314,-0.101551,0.095598,0.036869,,-0.324262,-40.1536,12.8218,0.411232,0.320469,0.942915,,-0.010706,0.203244,-0.023248,-2.409211,0.009188,2.612094,0.743092,-0.004699,0.147879,0.001693,0.070569,0.009529,0.072644,-0.004281,0.066578,-31.595737,-0.072831,18.121101,1.125987,2.505116,-0.187636
1750014963.817866,0.208683,0.852653,0.406574,-1.10762,1.16389,0.243216,,0.011116,0.086015,0.064862,-0.093633,0.088351,0.038785,,4.43574,-46.4395,12.7768,0.270978,0.193753,1.08042,,-0.013824,0.315905,-0.021359,-2.348047,0.014453,2.663915,0.738221,-0.000621,0.106072,0.003858,0.063963,0.011286,0.042315,-0.005065,0.01897,-31.925022,-0.04506,17.081673,0.883372,2.827382,-0.227003
1750014963.851177,0.208743,0.853168,0.406958,-1.10821,1.16438,0.243432,,0.010241,0.086818,0.067892,-0.094017,0.087512,0.04057,,4.55689,-47.1048,12.7018,0.386928,0.229478,1.0942,,-0.013954,0.320175,-0.021286,-2.345525,0.01462,2.665763,0.738049,-0.006118,0.108694,0.002855,0.06036,0.003929,0.044442,-0.006349,0.094349,-33.793613,0.002547,17.157051,1.119578,2.538075,-0.13362
1750014963.886642,0.209138,0.85615,0.409293,-1.1118,1.16765,0.244869,,0.007211,0.063149,0.047733,-0.078852,0.071042,0.03185,,4.14587,-44.9245,12.3423,0.275625,0.317826,1.29208,,-0.014042,0.323632,-0.021217,-2.343579,0.014749,2.667132,0.737926,0.000938,0.077748,0.003894,0.033405,0.003931,0.025074,-0.002394,0.01897,-36.888096,0.157272,17.601387,1.040843,2.833791,-0.194044
1750014963.917801,0.20933,0.857863,0.410419,-1.11473,1.17034,0.246043,,0.003522,0.03609,0.027478,-0.071258,0.062873,0.028197,,3.82869,-36.3075,13.483,0.148084,0.357603,1.27543,,-0.014111,0.32631,-0.021169,-2.342198,0.014863,2.668108,0.737837,-0.000844,0.081062,0.000906,0.048439,-0.000251,0.036418,-0.00482,-0.107983,-33.972141,0.157272,17.303841,1.145213,2.492299,-0.13362
1750014963.951227,0.209534,0.859648,0.412036,-1.11782,1.17315,0.247253,,0.00654,0.048859,0.038043,-0.075834,0.069785,0.030149,,4.06023,-41.7987,12.802,0.15945,0.302676,1.26597,,-0.014195,0.328233,-0.021125,-2.341001,0.014959,2.668911,0.73776,-0.003088,0.062698,-0.001696,0.040995,0.005328,0.02059,-0.001514,0.094349,-34.253819,0.208846,17.010262,0.94929,2.596669,-0.187636
1750014963.984443,0.209761,0.861469,0.413306,-1.12063,1.17572,0.248391,,0.005761,0.043912,0.032413,-0.071378,0.064227,0.028041,,3.56379,-34.823,13.812,-0.047518,0.381291,1.20368,,-0.014258,0.329981,-0.02108,-2.33973,0.015021,2.669691,0.737692,-0.000505,0.053414,0.001764,0.035614,0.002164,0.020641,-0.00081,0.066578,-34.432346,0.081893,16.514351,0.988658,2.492299,-0.207777
1750014964.01834,0.209869,0.862738,0.414372,-1.12326,1.17802,0.249397,,0.004109,0.03536,0.027059,-0.067593,0.062945,0.025489,,4.13472,-39.8829,13.0901,0.170485,0.356756,1.1602,,-0.014311,0.331574,-0.021059,-2.338818,0.015075,2.670312,0.737624,-0.002395,0.039878,9.5e-05,0.023528,0.000634,0.0176,-0.000992,0.094349,-34.103062,0.157272,17.081673,1.105845,2.544484,-0.173903
