time,heal_pos0,heal_pos1,heal_pos2,heal_pos3,heal_pos4,heal_pos5,heal_pos6,heal_vel0,heal_vel1,heal_vel2,heal_vel3,heal_vel4,heal_vel5,heal_vel6,heal_effort0,heal_effort1,heal_effort2,heal_effort3,heal_effort4,heal_effort5,heal_effort6,fr3_pos0,fr3_pos1,fr3_pos2,fr3_pos3,fr3_pos4,fr3_pos5,fr3_pos6,fr3_vel0,fr3_vel1,fr3_vel2,fr3_vel3,fr3_vel4,fr3_vel5,fr3_vel6,fr3_effort0,fr3_effort1,fr3_effort2,fr3_effort3,fr3_effort4,fr3_effort5,fr3_effort6
1750016694.806848,0.211187,0.868128,0.407640,-1.215240,1.260330,0.290326,nan,0.000000,-0.001066,-0.002887,-0.016218,0.013883,0.007259,nan,3.521950,-33.029800,12.397700,-0.063311,0.429333,0.937166,nan,-0.014100,0.347311,-0.021352,-2.329354,0.016214,2.676536,0.736729,0.000817,0.001322,0.001128,0.001420,0.000950,0.000573,0.002300,0.141956,-34.587070,0.105697,16.613533,0.962107,2.452016,-0.267287
1750016694.839547,0.211187,0.868080,0.407533,-1.215880,1.260860,0.290590,nan,0.000000,-0.001114,-0.002815,-0.015584,0.013368,0.006863,nan,3.557550,-32.779700,12.158000,0.003819,0.452901,0.992864,nan,-0.014103,0.347315,-0.021354,-2.329349,0.016214,2.676538,0.736730,-0.000729,0.001460,-0.000323,0.001671,0.000073,0.000310,0.001443,0.193531,-34.587070,0.129501,16.589729,0.974925,2.459340,-0.274611
1750016694.872693,0.211187,0.868033,0.407413,-1.216540,1.261420,0.290901,nan,0.000000,-0.001054,-0.002671,-0.014781,0.013451,0.007019,nan,3.593340,-32.603700,12.307100,0.074958,0.449025,0.959685,nan,-0.014103,0.347317,-0.021353,-2.329350,0.016216,2.676538,0.736721,0.000870,-0.000010,0.002142,-0.000047,0.000433,-0.000413,-0.002040,0.141956,-34.511692,0.157272,16.637337,0.955699,2.465749,-0.227003
1750016694.906763,0.211187,0.867985,0.407305,-1.217160,1.261980,0.291201,nan,0.000000,-0.001042,-0.002695,-0.015176,0.013631,0.007019,nan,3.628960,-32.482900,12.112000,0.073319,0.438358,0.975496,nan,-0.014100,0.347325,-0.021354,-2.329343,0.016216,2.676544,0.736727,0.000016,0.000550,0.001028,0.000403,0.000147,0.000669,0.001958,0.141956,-34.563267,0.129501,16.637337,0.974925,2.459340,-0.274611
1750016694.939557,0.211187,0.867949,0.407221,-1.217710,1.262430,0.291452,nan,-0.000012,-0.000994,-0.002623,-0.014697,0.012805,0.007055,nan,3.653710,-32.529400,11.656400,0.153364,0.502639,0.993822,nan,-0.014102,0.347330,-0.021355,-2.329344,0.016215,2.676546,0.736728,0.000217,0.000953,0.000298,-0.001079,-0.000349,0.000703,0.002279,0.169727,-34.587070,0.157272,16.613533,0.962107,2.445607,-0.287428
1750016694.972687,0.211187,0.867949,0.407185,-1.217790,1.262510,0.291488,nan,0.000000,-0.001066,-0.002791,-0.014446,0.013404,0.006935,nan,3.652730,-32.744800,12.480200,0.168170,0.456286,0.997895,nan,-0.014099,0.347332,-0.021355,-2.329339,0.016213,2.676542,0.736725,0.001552,0.001575,-0.000035,0.000658,-0.000514,-0.000851,-0.000022,0.118152,-34.610874,0.181075,16.613533,0.974925,2.452016,-0.260878
1750016695.007087,0.211199,0.867901,0.407077,-1.218360,1.263020,0.291764,nan,0.000000,-0.001090,-0.002803,-0.014326,0.013140,0.006863,nan,3.376890,-32.395700,12.409900,0.161408,0.475865,0.989989,nan,-0.014102,0.347327,-0.021355,-2.329340,0.016213,2.676545,0.736723,0.000156,-0.001005,0.000485,-0.000153,-0.000069,0.000290,0.000111,0.169727,-34.535496,0.181075,16.637337,0.974925,2.452016,-0.240736
1750016695.039590,0.211187,0.867877,0.406970,-1.218980,1.263560,0.292063,nan,0.000000,-0.001090,-0.003054,-0.014266,0.012960,0.006887,nan,3.712140,-33.210200,11.983700,0.183926,0.529228,0.975376,nan,-0.014101,0.347334,-0.021354,-2.329338,0.016218,2.676543,0.736721,0.001129,-0.000174,-0.000323,0.000073,0.001252,-0.000631,-0.000708,0.118152,-34.587070,0.129501,16.613533,0.955699,2.465749,-0.227003
1750016695.072729,0.211211,0.867829,0.406850,-1.219570,1.264080,0.292351,nan,-0.000048,-0.000838,-0.002827,-0.014673,0.012565,0.007522,nan,3.439740,-32.853500,12.125200,0.216865,0.499924,0.943155,nan,-0.014100,0.347333,-0.021354,-2.329340,0.016218,2.676545,0.736726,-0.000189,0.000712,0.000918,-0.000544,0.001130,0.000185,0.001682,0.141956,-34.587070,0.129501,16.637337,0.962107,2.452016,-0.267287
1750016695.106452,0.211199,0.867781,0.406730,-1.220180,1.264610,0.292626,nan,0.000000,-0.000946,-0.003162,-0.014050,0.012637,0.006887,nan,3.460180,-32.433300,12.155700,0.285477,0.480380,0.971064,nan,-0.014102,0.347331,-0.021355,-2.329336,0.016214,2.676546,0.736718,0.000793,-0.001685,-0.000302,0.000515,0.000942,0.000144,-0.000564,0.169727,-34.587070,0.181075,16.589729,0.962107,2.439198,-0.227003
